able 有才干的，能干的 
active 主动的，活跃的
adaptable 适应性强的
adroit 灵巧的，机敏的
aggressive 有进取心的
alert 机灵的
ambitious 有雄心壮志的
amiable 和蔼可亲的
amicable 友好的
analytical 善于分析的
apprehensive 有理解力的
aspiring 有志气的，有抱负的
audacious 大胆的，有冒险精神的
capable 有能力的，有才能的
careful 办事仔细的
candid 正直的
charitable 宽厚的
competent 能胜任的
confident 有信心的
conscientious 认真的，自觉的
considerate 体贴的
constructive 建设性的
contemplative 好沉思的
cooperative 有合作精神的
creative 富创造力的
dashing 有一股子冲劲的，有拼搏精神的
dedicated 有奉献精神的
devoted 有献身精神的
dependable 可靠的
diplomatic 老练的，有策略的
disciplined 守纪律的
discreet （在行动，说话等方面）谨慎的
dutiful 尽职的
dynamic 精悍的
earnest 认真的
well-educated 受过良好教育的
efficient 有效率的
energetic 精力充沛的
enthusiastic 充满热情的
expressive 善于表达
faithful 守信的，忠诚的
forceful （性格）坚强的
frank 直率的，真诚的
friendly 友好的
frugal 俭朴的
generous 宽宏大量的
genteel 有教养的
gentle 有礼貌的
hard-working 勤劳的
hearty 精神饱满的
honest 诚实的
hospitable 殷勤的
humble 恭顺的
humorous 幽默的
impartial 公正的
independent 有主见的
industrious 勤奋的
ingenious 有独创性的
initiative 首创精神
have an inquiring mind 爱动脑筋
intellective 有智力的
intelligent 理解力强的
inventive 有发明才能的，有创造力的
just 正直的
kind-hearted 好心的
knowledgeable 有见识的
learned 精通某门学问的
liberal 心胸宽大的
logical 条理分明的
loyal 忠心耿耿的
methodical 有方法的
modest 谦虚的
motivated 目的明确的
objective 客观的
open-minded 虚心的
orderly 守纪律的
original 有独创性的
painstaking 辛勤的，苦干的，刻苦的
practical 实际的
precise 一丝不苟的
persevering 不屈不挠的
punctual 严守时刻的
purposeful 意志坚强的
qualified 合格的
rational 有理性的
realistic 实事求是的
reasonable 讲道理的
reliable 可信赖的
responsible 负责的
self-conscious 自觉的
selfless 无私的
sensible 明白事理的
sincere 真诚的
smart 精明的
spirited 生气勃勃的
sporting 光明正大的
steady 塌实的
straightforward 老实的
strict 严格的
systematic 有系统的
strong-willed 意志坚强的
sweet-tempered 性情温和的
temperate 稳健的
tireless 孜孜不倦的
