全国人民代表大会       National People’s Congress (NPC)
主席团          Presidium
常务委员会        Standing Committee
办公厅         General Office
秘书处         Secretariat
代表资格审查委员会     Credentials Committee
提案审查委员会       Motions Examination Committee
民族委员会         Ethnic Affairs Committee
法律委员会         Law Committee
财务经济委员会       Finance Affairs Committee
外事委员会         Foreign and Economy Committee
教育,科学,文化委员会  Education, Science, Culture and Public Health Committee
内务司法委员会       Committee for Internal and Judicial Affairs
华侨委员会         Overseas Chinese Affairs Committee
法制委员会         Commission of Legislative Affairs
特定问题委员会       Committee of Inquiry into Special Questions
宪法修改委员会       Committee for Revision of the Constitution
中华人民共和国主席      President of the People’s Republic of China
中央军事委员会        Central Military Commission
最高人民法院         Supreme People’s Court
最高人民检察院        Supreme People’s Procuratorate
国务院          State Council

(1)国务院部委        Ministries and Commissions Directly under the State Council

   外交部       Ministry of Foreign Affairs
   国防部       Ministry of National Defence
   国家发展计划委员    State Development Planning Commission
   国家经济贸易委员会   State Economic and Trade Commission
   教育部       Ministry of Education
   科学技术部     Ministry of Science and Technology
   国家科学技术工业委员会 Commission of Science, Technology and Industry for National Defence
   国家民族事务委员会   State Ethnic Affairs Commission
   公安部         Ministry of Public Security
   国家安全部       Ministry of State Security
   监察部         Ministry of Supervision
   民政部         Ministry of Civil Affairs
   司法部         Ministry of Justice
   财政部         Ministry of Finance
   人事部         Ministry of Personnel
   劳动和社会保障部   Ministry of Labour and Social Security
   国土资源部     Ministry of Land and Resources
   建设部       Ministry of Construction
   铁路部         Ministry of Railways
   交通部         Ministry of Communications
   信息产业部       Ministry of Information Industry
   水利部       Ministry of Water Resources
   农业部       Ministry of Agriculture
   对外贸易经济合作部   Ministry of Foreign Trade and Economic Cooperation
   文化部       Ministry of Culture
   卫生部       Ministry of Public Health
   国家计划生育委员会   State Family Planning Commission
   中国人民银行      People’s Bank of China
   国家审计署       State Auditing Administration

(2)国务院办事机构     Offices under that State Council

   国务院办公厅      General Office of the State Council
   侨务办公厅       Office of Overseas Chinese Affairs
   港澳办公厅       Hong Kong and Macao Affairs Office
   台湾办公厅       Taiwan Affairs Office
   法制办公厅       Office of Legislative Affairs
   经济体制办公厅     Office for Economic Restructuring
   国务院研究室      Research Office of the State Council
   新闻办公室       Information Office

(3)国务院直属机构       Departments Directly under the State Council

   海关总署       General Administration of Customs
   国家税务总局     State Taxation Administration
   国家环境保护总局   State Environmental Protection Administration
   中国民用航空总局   Civil Aviation Administration of China (CAAC)
   国家广播电影电视总局 State Administration of Radio, Film and Television
   国家体育总局      State Physical Cultural Administration
   国家统计局       State Statistics Bureau
   国家工商行政管理局  State Administration of Industry and Commerce
   新闻出版署      Press and Publication Administration
   国家版权局      State Copyright Bureau
   国家林业局      State Forestry Bureau
   国家质量技术监督局  State Bureau of Quality and Technical Supervision
   国家药品监督管理局  State Drug Administration (SDA)
   国家知识产权局    State Intellectual Property Office (SIPO)
   国家旅游局      National Tourism Administration
   国家宗教事务局    State Bureau of Religious Affairs
   国务院参事室     Counsellors’ Office of the State Council
   国务院机关事务管理局   Government Offices Administration of the State Council


(4)国务院直属事业单位    Institutions Directly under the State Council

   新华通讯社        Xinhua News Agency
   中国科学院        Chinese Academy of Sciences
   中国社会科学院      Chinese Academy of Social Sciences
   中国工程院        Chinese Academy of Engineering
   国务院发展研究中心   Development Research Centre of the State Council
   国家行政学院      National School of Administration
   中国地震局       China Seismological Bureau
   中国气象局       China Meteorological Bureau
   中国证券监督管理委员会   China Securities Regulatory Commission (CSRS)

(5)部委管理的国家局      State Bureaux Administration by Ministration or Commission)

   国家粮食储备局(国家发展计划委员会)  State Bureau of Grain Reserve (Under the State Development Planning Commission)
   国家国内贸易局      State Bureau of Internal Trade
   国家煤炭工业局      State Bureau of Coal Industry
   国家机械工业局       State Bureau of Machine Building Industry
   国家冶金工业局       State Bureau of Metallurgical Industry
   国家石油和化学工业局   State Bureau of Petroleum and Chemical Industry
   国家轻工业局        State Bureau of Light Industry
   国家纺织工业局       State Bureau of Textile Industry
   国家建筑材料工业局     State Bureau of Building Materials Industry
   国家烟草专卖局       State Tobacco Monopoly Bureau
   国家有色金属工业局     State Bureau of Nonferrous Metal Industry

(以上由国家经贸委管理above are all under the State Economic and Trade Commission)

   国家外国专家局(人事部)    State Bureau of Foreign Experts Affairs (under the Ministry of Personnel)
   国家海洋局(国土资源部)    State Bureau of Oceanic Administration (under the Ministry of Land and Resources)
   国家测绘局(国土资源部)    State Bureau of Surveying and Mapping (ditto)
   国家邮政局(信息产业部)    State Post Bureau (under the Ministry of Information Industry)
   国家文物局(文化部)      State Cultural Relics Bureau (under the Ministry of Culture)
   国家中医药管理局(卫生部)  State Administration of Traditional Chinese Medicine (under the Ministry of Public Health)
   国家外汇管理局(中国人民银行总行)   State Administration of Foreign Exchange (under the People’s Bank of China)
   国家出入境检验检疫局(海关总署)      State Administration for Entry-Exit Inspection and Quarantine (under the General Administration of Customs)
